fecha,letra,share_mujer
2008-05-01,C,.17901869
2008-05-01,D,.16042887
2008-05-01,E,.10449827
2008-05-01,F,.042833325
2008-05-01,G,.34097874
2008-05-01,H,.089099012
2008-05-01,I,.42649758
2008-05-01,J,.34111324
2008-05-01,K,.4761312
2008-05-01,L,.33218792
2008-05-01,M,.41331866
2008-05-01,N,.32073069
2008-05-01,O,.30740443
2008-05-01,P,.7410509
2008-05-01,Q,.72975743
2008-05-01,R,.39877415
2008-05-01,S,.46771666
2008-05-01,U,.54245973
2008-05-01,Z,.25345623
2008-06-01,A,.10499904
2008-06-01,B,.083552904
2008-06-01,C,.17920713
2008-06-01,D,.16106245
2008-06-01,E,.10457952
2008-06-01,F,.043619864
2008-06-01,G,.34220374
2008-06-01,H,.08927156
2008-06-01,I,.42762244
2008-06-01,J,.34057158
2008-06-01,K,.47714666
2008-06-01,L,.33470294
2008-06-01,M,.41477314
2008-06-01,N,.32364178
2008-06-01,O,.30412662
2008-06-01,P,.7405315
2008-06-01,Q,.73030829
2008-06-01,R,.39901096
2008-06-01,S,.47053334
2008-06-01,U,.53777778
2008-06-01,Z,.24145786
2008-07-01,A,.10233749
2008-07-01,B,.083852306
2008-07-01,C,.17837527
2008-07-01,D,.16125913
2008-07-01,E,.10293499
2008-07-01,F,.044127524
2008-07-01,G,.34187213
2008-07-01,H,.089484595
2008-07-01,I,.43014902
2008-07-01,J,.34205988
2008-07-01,K,.47724888
2008-07-01,L,.33513927
2008-07-01,M,.41586831
2008-07-01,N,.32418272
2008-07-01,O,.29845026
2008-07-01,P,.74156576
2008-07-01,Q,.72990316
2008-07-01,R,.40221965
2008-07-01,S,.47028187
2008-07-01,U,.5371471
2008-07-01,Z,.25765306
2008-08-01,A,.10041911
2008-08-01,B,.084103808
2008-08-01,C,.1778702
2008-08-01,D,.16075888
2008-08-01,E,.10337128
2008-08-01,F,.044537343
2008-08-01,G,.34290907
2008-08-01,H,.089888282
2008-08-01,I,.43073219
2008-08-01,J,.33867931
2008-08-01,K,.47741482
2008-08-01,L,.33752844
2008-08-01,M,.41991878
2008-08-01,N,.32603365
2008-08-01,O,.29963541
2008-08-01,P,.74012727
2008-08-01,Q,.73017377
2008-08-01,R,.40165207
2008-08-01,S,.47048798
2008-08-01,U,.53531599
2008-08-01,Z,.24870466
2008-09-01,A,.10238302
2008-09-01,B,.084581234
2008-09-01,C,.1779882
2008-09-01,D,.16093412
2008-09-01,E,.10362989
2008-09-01,F,.044467486
2008-09-01,G,.34298563
2008-09-01,H,.090248935
2008-09-01,I,.43001011
2008-09-01,J,.33798996
2008-09-01,K,.47736001
2008-09-01,L,.33700085
2008-09-01,M,.41830087
2008-09-01,N,.3277182
2008-09-01,O,.30089515
2008-09-01,P,.74028718
2008-09-01,Q,.73025924
2008-09-01,R,.40007156
2008-09-01,S,.47158688
2008-09-01,U,.53942519
2008-09-01,Z,.24396783
2008-10-01,A,.1183624
2008-10-01,B,.084272943
2008-10-01,C,.17877318
2008-10-01,D,.16177018
2008-10-01,E,.10338896
2008-10-01,F,.044311881
2008-10-01,G,.34412405
2008-10-01,H,.090717427
2008-10-01,I,.43206146
2008-10-01,J,.33772802
2008-10-01,K,.47778767
2008-10-01,L,.33952755
2008-10-01,M,.41988415
2008-10-01,N,.33139426
2008-10-01,O,.29977641
2008-10-01,P,.74076879
2008-10-01,Q,.73077464
