fecha,clae3,share_mujer
2007-03-01,108,.12563667
2007-03-01,109,.16216215
2007-03-01,110,.14844814
2007-03-01,120,.19654782
2007-03-01,131,.1642945
2007-03-01,139,.33427066
2007-03-01,141,.60802191
2007-03-01,142,.33333334
2007-03-01,143,.60413265
2007-03-01,149,.20544554
2007-03-01,151,.14106697
2007-03-01,152,.27492473
2007-03-01,161,.03377337
2007-03-01,162,.10160886
2007-03-01,170,.13347211
2007-03-01,181,.20545723
2007-03-01,182,.37288135
2007-03-01,191,.07526882
2007-03-01,192,.19739696
2007-03-01,201,.12927788
2007-03-01,202,.24892828
2007-03-01,203,.23045267
2007-03-01,204,.23484848
2007-03-01,210,.35693121
2007-03-01,221,.11080045
2007-03-01,222,.13738707
2007-03-01,231,.068871774
2007-03-01,239,.06905245
2007-03-01,241,.060568981
2007-03-01,242,.069914788
2007-03-01,243,.056235734
2007-03-01,251,.051497895
2007-03-01,252,.10606061
2007-03-01,259,.091249436
2007-03-01,261,.28623188
2007-03-01,262,.26989427
2007-03-01,263,.22850679
2007-03-01,264,.30030879
2007-03-01,265,.1758312
2007-03-01,266,.2300131
2007-03-01,267,.3364177
2007-03-01,268,.31034482
2007-03-01,271,.11076592
2007-03-01,272,.058158319
2007-03-01,273,.099540584
2007-03-01,274,.14244017
2007-03-01,275,.12004086
2007-03-01,279,.18099742
2007-03-01,281,.092807561
2007-03-01,282,.077107146
2007-03-01,291,.060342178
2007-03-01,292,.044696253
2007-03-01,293,.11469328
2007-03-01,301,.052050803
2007-03-01,302,.050142247
2007-03-01,303,.13294798
2007-03-01,309,.091312386
2007-03-01,310,.12681533
2007-03-01,321,.34087881
2007-03-01,322,.23232323
2007-03-01,323,.23020707
2007-03-01,324,.29522613
2007-03-01,329,.20967266
2007-03-01,331,.083938658
2007-03-01,332,.072213501
2007-03-01,351,.15025854
2007-03-01,352,.21431297
2007-03-01,353,0
2007-03-01,360,.18180539
2007-03-01,370,.10844749
2007-03-01,381,.050819442
2007-03-01,382,.089592069
2007-03-01,390,.14832535
2007-03-01,410,.029271165
2007-03-01,421,.066598818
2007-03-01,422,.046299051
2007-03-01,429,.043053739
2007-03-01,431,.047244832
2007-03-01,432,.058735032
2007-03-01,433,.053512622
2007-03-01,439,.035861183
2007-03-01,451,.20072228
2007-03-01,452,.072224081
2007-03-01,453,.13231641
2007-03-01,454,.19195047
2007-03-01,461,.16962832
2007-03-01,462,.15442422
2007-03-01,463,.2173126
2007-03-01,464,.36832041
2007-03-01,465,.23750855
2007-03-01,466,.1601065
2007-03-01,469,.26450107
2007-03-01,471,.41485125
2007-03-01,472,.3337208
2007-03-01,473,.28504241
2007-03-01,474,.29571822
