fecha,zona_prov,share_mujer
2007-10-01,LA RIOJA,.24528922
2007-10-01,MENDOZA,.26802093
2007-10-01,MISIONES,.18430719
2007-10-01,NEUQUEN,.24956706
2007-10-01,RIO NEGRO,.30216411
2007-10-01,SALTA,.2320842
2007-10-01,SAN JUAN,.23790438
2007-10-01,SAN LUIS,.24577793
2007-10-01,SANTA CRUZ,.21451619
2007-10-01,SANTA FE,.27401841
2007-10-01,SANTIAGO DEL ESTERO,.25914299
2007-10-01,TIERRA DEL FUEGO,.28629312
2007-10-01,TUCUMAN,.24396724
2007-11-01,BUENOS AIRES,.3035579
2007-11-01,CAPITAL FEDERAL,.3653436
2007-11-01,CATAMARCA,.22752446
2007-11-01,CHACO,.2220625
2007-11-01,CHUBUT,.24284151
2007-11-01,CORDOBA,.29944199
2007-11-01,CORRIENTES,.19586244
2007-11-01,ENTRE RIOS,.27398652
2007-11-01,FORMOSA,.18726155
2007-11-01,JUJUY,.20542884
2007-11-01,LA PAMPA,.25627694
2007-11-01,LA RIOJA,.2461154
2007-11-01,MENDOZA,.27324322
2007-11-01,MISIONES,.18722883
2007-11-01,NEUQUEN,.25186062
2007-11-01,RIO NEGRO,.29798478
2007-11-01,SALTA,.23422375
2007-11-01,SAN JUAN,.2401032
2007-11-01,SAN LUIS,.24932776
2007-11-01,SANTA CRUZ,.21868452
2007-11-01,SANTA FE,.27429923
2007-11-01,SANTIAGO DEL ESTERO,.25656074
2007-11-01,TIERRA DEL FUEGO,.28674081
2007-11-01,TUCUMAN,.25948605
2007-12-01,BUENOS AIRES,.30410504
2007-12-01,CAPITAL FEDERAL,.36702123
2007-12-01,CATAMARCA,.23872714
2007-12-01,CHACO,.22539599
2007-12-01,CHUBUT,.25158563
2007-12-01,CORDOBA,.30110848
2007-12-01,CORRIENTES,.19293755
2007-12-01,ENTRE RIOS,.26391912
2007-12-01,FORMOSA,.19468445
2007-12-01,JUJUY,.22279242
2007-12-01,LA PAMPA,.25917202
2007-12-01,LA RIOJA,.2494068
2007-12-01,MENDOZA,.27952391
2007-12-01,MISIONES,.19188365
2007-12-01,NEUQUEN,.2573792
2007-12-01,RIO NEGRO,.30929801
2007-12-01,SALTA,.24059051
2007-12-01,SAN JUAN,.24865283
2007-12-01,SAN LUIS,.25153574
2007-12-01,SANTA CRUZ,.22106086
2007-12-01,SANTA FE,.27714983
2007-12-01,SANTIAGO DEL ESTERO,.25851664
2007-12-01,TIERRA DEL FUEGO,.28893003
2007-12-01,TUCUMAN,.26645443
2008-01-01,BUENOS AIRES,.30477488
2008-01-01,CAPITAL FEDERAL,.36307269
2008-01-01,CATAMARCA,.23928225
2008-01-01,CHACO,.22437625
2008-01-01,CHUBUT,.24918886
2008-01-01,CORDOBA,.30400425
2008-01-01,CORRIENTES,.18872255
2008-01-01,ENTRE RIOS,.25812474
2008-01-01,FORMOSA,.19799222
2008-01-01,JUJUY,.22642471
2008-01-01,LA PAMPA,.26138079
2008-01-01,LA RIOJA,.24799699
2008-01-01,MENDOZA,.28109276
2008-01-01,MISIONES,.19076799
2008-01-01,NEUQUEN,.25662252
2008-01-01,RIO NEGRO,.30487961
2008-01-01,SALTA,.24767311
2008-01-01,SAN JUAN,.24564025
2008-01-01,SAN LUIS,.24619475
2008-01-01,SANTA CRUZ,.22300482
2008-01-01,SANTA FE,.27218968
2008-01-01,SANTIAGO DEL ESTERO,.25516883
2008-01-01,TIERRA DEL FUEGO,.29093352
2008-01-01,TUCUMAN,.26031646
2008-02-01,BUENOS AIRES,.30479273
2008-02-01,CAPITAL FEDERAL,.36396527
2008-02-01,CATAMARCA,.22539739
2008-02-01,CHACO,.22207622
2008-02-01,CHUBUT,.24617685
2008-02-01,CORDOBA,.30344105
2008-02-01,CORRIENTES,.19050263
2008-02-01,ENTRE RIOS,.25938219
2008-02-01,FORMOSA,.19861092
2008-02-01,JUJUY,.22713029
2008-02-01,LA PAMPA,.26309064
2008-02-01,LA RIOJA,.23582554
2008-02-01,MENDOZA,.28422159
2008-02-01,MISIONES,.19142687
2008-02-01,NEUQUEN,.25838944
2008-02-01,RIO NEGRO,.30471849
2008-02-01,SALTA,.25155282
2008-02-01,SAN JUAN,.2432784
2008-02-01,SAN LUIS,.24602433
2008-02-01,SANTA CRUZ,.2237255
2008-02-01,SANTA FE,.26975822
2008-02-01,SANTIAGO DEL ESTERO,.25283951
2008-02-01,TIERRA DEL FUEGO,.29515296
2008-02-01,TUCUMAN,.25022578
2008-03-01,BUENOS AIRES,.30267274
2008-03-01,CAPITAL FEDERAL,.36580509
2008-03-01,CATAMARCA,.22161245
2008-03-01,CHACO,.22003639
2008-03-01,CHUBUT,.24516273
2008-03-01,CORDOBA,.30172074
2008-03-01,CORRIENTES,.19133675
2008-03-01,ENTRE RIOS,.26115465
2008-03-01,FORMOSA,.19563591
2008-03-01,JUJUY,.22699907
2008-03-01,LA PAMPA,.26436362
2008-03-01,LA RIOJA,.23482388
2008-03-01,MENDOZA,.28244758
2008-03-01,MISIONES,.19184116
2008-03-01,NEUQUEN,.25887933
2008-03-01,RIO NEGRO,.30915922
2008-03-01,SALTA,.25255379
2008-03-01,SAN JUAN,.23926878
2008-03-01,SAN LUIS,.24888667
2008-03-01,SANTA CRUZ,.22063762
2008-03-01,SANTA FE,.27182955
2008-03-01,SANTIAGO DEL ESTERO,.25869814
2008-03-01,TIERRA DEL FUEGO,.29483086
2008-03-01,TUCUMAN,.2442136
2008-04-01,BUENOS AIRES,.30270407
2008-04-01,CAPITAL FEDERAL,.36647171
2008-04-01,CATAMARCA,.22786029
2008-04-01,CHACO,.22006457
2008-04-01,CHUBUT,.24571832
