fecha,zona_prov,share_mujer
2013-08-01,SALTA,.38411105
2013-08-01,SAN JUAN,.3387818
2013-08-01,SAN LUIS,.36579105
2013-08-01,SANTA CRUZ,.23123398
2013-08-01,SANTA FE,.37994373
2013-08-01,SANTIAGO DEL ESTERO,.39043957
2013-08-01,TIERRA DEL FUEGO,.39870834
2013-08-01,TUCUMAN,.34930742
2013-09-01,BUENOS AIRES,.39644766
2013-09-01,CAPITAL FEDERAL,.40308544
2013-09-01,CATAMARCA,.38741177
2013-09-01,CHACO,.30640358
2013-09-01,CHUBUT,.36565876
2013-09-01,CORDOBA,.39153424
2013-09-01,CORRIENTES,.36458459
2013-09-01,ENTRE RIOS,.39252576
2013-09-01,FORMOSA,.38606387
2013-09-01,JUJUY,.40514651
2013-09-01,LA PAMPA,.42542124
2013-09-01,LA RIOJA,.4030968
2013-09-01,MENDOZA,.38601705
2013-09-01,MISIONES,.36675784
2013-09-01,NEUQUEN,.37865531
2013-09-01,RIO NEGRO,.40905842
2013-09-01,SALTA,.37981725
2013-09-01,SAN JUAN,.34104252
2013-09-01,SAN LUIS,.36694565
2013-09-01,SANTA CRUZ,.23291858
2013-09-01,SANTA FE,.3811084
2013-09-01,SANTIAGO DEL ESTERO,.39159757
2013-09-01,TIERRA DEL FUEGO,.39982843
2013-09-01,TUCUMAN,.3495039
2013-10-01,BUENOS AIRES,.39730209
2013-10-01,CAPITAL FEDERAL,.40333706
2013-10-01,CATAMARCA,.38738111
2013-10-01,CHACO,.30727121
2013-10-01,CHUBUT,.36497608
2013-10-01,CORDOBA,.39063352
2013-10-01,CORRIENTES,.36496821
2013-10-01,ENTRE RIOS,.39194676
2013-10-01,FORMOSA,.39064243
2013-10-01,JUJUY,.40473488
2013-10-01,LA PAMPA,.42406234
2013-10-01,LA RIOJA,.40455782
2013-10-01,MENDOZA,.38743722
2013-10-01,MISIONES,.36983979
2013-10-01,NEUQUEN,.37733385
2013-10-01,RIO NEGRO,.40998065
2013-10-01,SALTA,.37792778
2013-10-01,SAN JUAN,.33490446
2013-10-01,SAN LUIS,.36565706
2013-10-01,SANTA CRUZ,.23448837
2013-10-01,SANTA FE,.38174421
2013-10-01,SANTIAGO DEL ESTERO,.39049783
2013-10-01,TIERRA DEL FUEGO,.39645398
2013-10-01,TUCUMAN,.36150968
2013-11-01,BUENOS AIRES,.39796293
2013-11-01,CAPITAL FEDERAL,.40173775
2013-11-01,CATAMARCA,.38726684
2013-11-01,CHACO,.39634773
2013-11-01,CHUBUT,.36507449
2013-11-01,CORDOBA,.39215732
2013-11-01,CORRIENTES,.36452776
2013-11-01,ENTRE RIOS,.39375997
2013-11-01,FORMOSA,.38774416
2013-11-01,JUJUY,.40579608
2013-11-01,LA PAMPA,.42491609
2013-11-01,LA RIOJA,.40470415
2013-11-01,MENDOZA,.38731816
2013-11-01,MISIONES,.3692643
2013-11-01,NEUQUEN,.37481964
2013-11-01,RIO NEGRO,.40613675
2013-11-01,SALTA,.3778266
2013-11-01,SAN JUAN,.34462944
2013-11-01,SAN LUIS,.36528748
2013-11-01,SANTA CRUZ,.23866859
2013-11-01,SANTA FE,.38234261
2013-11-01,SANTIAGO DEL ESTERO,.39085278
2013-11-01,TIERRA DEL FUEGO,.39462143
2013-11-01,TUCUMAN,.36356542
2013-12-01,BUENOS AIRES,.39468199
2013-12-01,CAPITAL FEDERAL,.40114868
2013-12-01,CATAMARCA,.3878665
2013-12-01,CHACO,.40090111
2013-12-01,CHUBUT,.36801142
2013-12-01,CORDOBA,.39181587
2013-12-01,CORRIENTES,.36576775
2013-12-01,ENTRE RIOS,.39461321
2013-12-01,FORMOSA,.39136356
2013-12-01,JUJUY,.40935192
2013-12-01,LA PAMPA,.42863205
2013-12-01,LA RIOJA,.40432128
2013-12-01,MENDOZA,.39245772
2013-12-01,MISIONES,.37658224
2013-12-01,NEUQUEN,.37630782
2013-12-01,RIO NEGRO,.40977237
2013-12-01,SALTA,.38026348
2013-12-01,SAN JUAN,.34894049
2013-12-01,SAN LUIS,.36934429
2013-12-01,SANTA CRUZ,.24318433
2013-12-01,SANTA FE,.38201034
2013-12-01,SANTIAGO DEL ESTERO,.39216828
2013-12-01,TIERRA DEL FUEGO,.3921982
2013-12-01,TUCUMAN,.36628309
2014-01-01,BUENOS AIRES,.39471197
2014-01-01,CAPITAL FEDERAL,.39947373
2014-01-01,CATAMARCA,.3897343
2014-01-01,CHACO,.40085903
2014-01-01,CHUBUT,.36568671
2014-01-01,CORDOBA,.39601013
2014-01-01,CORRIENTES,.36555484
2014-01-01,ENTRE RIOS,.39609721
2014-01-01,FORMOSA,.3897531
2014-01-01,JUJUY,.41403648
2014-01-01,LA PAMPA,.42397565
2014-01-01,LA RIOJA,.40420023
2014-01-01,MENDOZA,.38738722
2014-01-01,MISIONES,.37451106
2014-01-01,NEUQUEN,.37232354
2014-01-01,RIO NEGRO,.39373738
2014-01-01,SALTA,.38271734
2014-01-01,SAN JUAN,.34602267
2014-01-01,SAN LUIS,.36753988
2014-01-01,SANTA CRUZ,.24853484
2014-01-01,SANTA FE,.37065247
2014-01-01,SANTIAGO DEL ESTERO,.39082262
2014-01-01,TIERRA DEL FUEGO,.39421913
2014-01-01,TUCUMAN,.3669329
2014-02-01,BUENOS AIRES,.39556822
2014-02-01,CAPITAL FEDERAL,.4002203
2014-02-01,CATAMARCA,.38654876
2014-02-01,CHACO,.40218285
2014-02-01,CHUBUT,.36468688
2014-02-01,CORDOBA,.392811
2014-02-01,CORRIENTES,.36488381
2014-02-01,ENTRE RIOS,.39597687
2014-02-01,FORMOSA,.39118829
2014-02-01,JUJUY,.41550186
2014-02-01,LA PAMPA,.42225713
2014-02-01,LA RIOJA,.39069328
2014-02-01,MENDOZA,.38995403
2014-02-01,MISIONES,.37203717
2014-02-01,NEUQUEN,.37108013
2014-02-01,RIO NEGRO,.39105466
2014-02-01,SALTA,.38524806
2014-02-01,SAN JUAN,.34408325
2014-02-01,SAN LUIS,.36859989
2014-02-01,SANTA CRUZ,.24349414
2014-02-01,SANTA FE,.37187907
2014-02-01,SANTIAGO DEL ESTERO,.39032099
2014-02-01,TIERRA DEL FUEGO,.39530867
2014-02-01,TUCUMAN,.3683798
2014-03-01,BUENOS AIRES,.39389935
2014-03-01,CAPITAL FEDERAL,.40149853
2014-03-01,CATAMARCA,.38474998
2014-03-01,CHACO,.4024452
2014-03-01,CHUBUT,.36531845
2014-03-01,CORDOBA,.35674888
2014-03-01,CORRIENTES,.36403814
2014-03-01,ENTRE RIOS,.39416561
2014-03-01,FORMOSA,.39101323
2014-03-01,JUJUY,.41875243
2014-03-01,LA PAMPA,.41997874
2014-03-01,LA RIOJA,.387703
2014-03-01,MENDOZA,.37558338
2014-03-01,MISIONES,.37232193
2014-03-01,NEUQUEN,.37154546
2014-03-01,RIO NEGRO,.39220241
2014-03-01,SALTA,.38408273
2014-03-01,SAN JUAN,.33893815
2014-03-01,SAN LUIS,.36841592
2014-03-01,SANTA CRUZ,.24186227
2014-03-01,SANTA FE,.37346673
2014-03-01,SANTIAGO DEL ESTERO,.39062718
2014-03-01,TIERRA DEL FUEGO,.39306384
2014-03-01,TUCUMAN,.36700353
2014-04-01,BUENOS AIRES,.39414179
2014-04-01,CAPITAL FEDERAL,.40162155
2014-04-01,CATAMARCA,.38411775
2014-04-01,CHACO,.4025647
2014-04-01,CHUBUT,.36500096
2014-04-01,CORDOBA,.39096838
2014-04-01,CORRIENTES,.36425531
2014-04-01,ENTRE RIOS,.39418092
2014-04-01,FORMOSA,.39132676
2014-04-01,JUJUY,.40621677
2014-04-01,LA PAMPA,.42192203
2014-04-01,LA RIOJA,.39451468
2014-04-01,MENDOZA,.38128066
2014-04-01,MISIONES,.36795351
2014-04-01,NEUQUEN,.37274447
2014-04-01,RIO NEGRO,.40210825
2014-04-01,SALTA,.38704494
2014-04-01,SAN JUAN,.34770197
2014-04-01,SAN LUIS,.36825693
2014-04-01,SANTA CRUZ,.2399295
2014-04-01,SANTA FE,.37823585
2014-04-01,SANTIAGO DEL ESTERO,.39002112
2014-04-01,TIERRA DEL FUEGO,.39198807
2014-04-01,TUCUMAN,.3625395
2014-05-01,BUENOS AIRES,.39489123
2014-05-01,CAPITAL FEDERAL,.40527165
2014-05-01,CATAMARCA,.37819672
2014-05-01,CHACO,.40149695
2014-05-01,CHUBUT,.36551306
2014-05-01,CORDOBA,.38966504
2014-05-01,CORRIENTES,.35809466
2014-05-01,ENTRE RIOS,.39312941
2014-05-01,FORMOSA,.39193478
2014-05-01,JUJUY,.4129059
2014-05-01,LA PAMPA,.42299831
2014-05-01,LA RIOJA,.40217763
2014-05-01,MENDOZA,.38944471
2014-05-01,MISIONES,.36663783
2014-05-01,NEUQUEN,.37563047
2014-05-01,RIO NEGRO,.40468964
2014-05-01,SALTA,.38402656
2014-05-01,SAN JUAN,.35081971
2014-05-01,SAN LUIS,.36807024
2014-05-01,SANTA CRUZ,.23766172
2014-05-01,SANTA FE,.38132605
2014-05-01,SANTIAGO DEL ESTERO,.39100111
2014-05-01,TIERRA DEL FUEGO,.39120337
2014-05-01,TUCUMAN,.35477218
2014-06-01,BUENOS AIRES,.39702123
2014-06-01,CAPITAL FEDERAL,.40607798
2014-06-01,CATAMARCA,.38662806
2014-06-01,CHACO,.40059838
2014-06-01,CHUBUT,.36544839
2014-06-01,CORDOBA,.39263612
2014-06-01,CORRIENTES,.36381537
2014-06-01,ENTRE RIOS,.39346454
2014-06-01,FORMOSA,.38664764
2014-06-01,JUJUY,.41369542
2014-06-01,LA PAMPA,.42312676
2014-06-01,LA RIOJA,.40385056
2014-06-01,MENDOZA,.38487095
2014-06-01,MISIONES,.36553025
2014-06-01,NEUQUEN,.37508667
2014-06-01,RIO NEGRO,.40671226
2014-06-01,SALTA,.38204125
2014-06-01,SAN JUAN,.35293132
2014-06-01,SAN LUIS,.36748061
2014-06-01,SANTA CRUZ,.23614913
2014-06-01,SANTA FE,.38259605
2014-06-01,SANTIAGO DEL ESTERO,.39008793
2014-06-01,TIERRA DEL FUEGO,.39634711
2014-06-01,TUCUMAN,.35269785
2014-07-01,BUENOS AIRES,.3964338
2014-07-01,CAPITAL FEDERAL,.40589091
2014-07-01,CATAMARCA,.38682711
2014-07-01,CHACO,.40042737
2014-07-01,CHUBUT,.36620989
2014-07-01,CORDOBA,.393291
2014-07-01,CORRIENTES,.3638826
2014-07-01,ENTRE RIOS,.39473355
2014-07-01,FORMOSA,.38631475
2014-07-01,JUJUY,.41178048
2014-07-01,LA PAMPA,.4221707
2014-07-01,LA RIOJA,.40398589
2014-07-01,MENDOZA,.38768342
2014-07-01,MISIONES,.36416391
2014-07-01,NEUQUEN,.37445623
2014-07-01,RIO NEGRO,.40373653
2014-07-01,SALTA,.38109845
2014-07-01,SAN JUAN,.35315996
2014-07-01,SAN LUIS,.36729363
2014-07-01,SANTA CRUZ,.23801371
2014-07-01,SANTA FE,.38179022
2014-07-01,SANTIAGO DEL ESTERO,.38883212
2014-07-01,TIERRA DEL FUEGO,.39762414
2014-07-01,TUCUMAN,.35064176
2014-08-01,BUENOS AIRES,.39612365
2014-08-01,CAPITAL FEDERAL,.40613461
2014-08-01,CATAMARCA,.38738972
2014-08-01,CHACO,.40034774
2014-08-01,CHUBUT,.36656097
2014-08-01,CORDOBA,.39464855
2014-08-01,CORRIENTES,.36415446
2014-08-01,ENTRE RIOS,.3965309
2014-08-01,FORMOSA,.38441804
2014-08-01,JUJUY,.4091911
2014-08-01,LA PAMPA,.42178828
2014-08-01,LA RIOJA,.40315428
