fecha,zona_prov,share_mujer
2007-10-01,CORDOBA,.30091989
2007-10-01,CORRIENTES,.1941985
2007-10-01,ENTRE RIOS,.27178484
2007-10-01,FORMOSA,.18253715
2007-10-01,JUJUY,.20138492
2007-10-01,LA PAMPA,.2542181
2007-10-01,LA RIOJA,.2451451
2007-10-01,MENDOZA,.2695114
2007-10-01,MISIONES,.18314955
2007-10-01,NEUQUEN,.25104973
2007-10-01,RIO NEGRO,.30346894
2007-10-01,SALTA,.23284635
2007-10-01,SAN JUAN,.23841251
2007-10-01,SAN LUIS,.24578932
2007-10-01,SANTA CRUZ,.21460444
2007-10-01,SANTA FE,.27473474
2007-10-01,SANTIAGO DEL ESTERO,.2596834
2007-10-01,TIERRA DEL FUEGO,.28676251
2007-10-01,TUCUMAN,.24438699
2007-11-01,BUENOS AIRES,.30533287
2007-11-01,CAPITAL FEDERAL,.36597234
2007-11-01,CATAMARCA,.22723441
2007-11-01,CHACO,.22478206
2007-11-01,CHUBUT,.24180771
2007-11-01,CORDOBA,.30128339
2007-11-01,CORRIENTES,.19587281
2007-11-01,ENTRE RIOS,.27405638
2007-11-01,FORMOSA,.18719302
2007-11-01,JUJUY,.20582204
2007-11-01,LA PAMPA,.25741047
2007-11-01,LA RIOJA,.24601868
2007-11-01,MENDOZA,.27473149
2007-11-01,MISIONES,.18613432
2007-11-01,NEUQUEN,.25346097
2007-11-01,RIO NEGRO,.29923597
2007-11-01,SALTA,.23496322
2007-11-01,SAN JUAN,.24062966
2007-11-01,SAN LUIS,.24938312
2007-11-01,SANTA CRUZ,.21893632
2007-11-01,SANTA FE,.27501243
2007-11-01,SANTIAGO DEL ESTERO,.25701267
2007-11-01,TIERRA DEL FUEGO,.2871699
2007-11-01,TUCUMAN,.25997552
2007-12-01,BUENOS AIRES,.30588472
2007-12-01,CAPITAL FEDERAL,.36767626
2007-12-01,CATAMARCA,.23857802
2007-12-01,CHACO,.22822763
2007-12-01,CHUBUT,.25068995
2007-12-01,CORDOBA,.30297169
2007-12-01,CORRIENTES,.19290462
2007-12-01,ENTRE RIOS,.26391369
2007-12-01,FORMOSA,.19475263
2007-12-01,JUJUY,.22328942
2007-12-01,LA PAMPA,.26038271
2007-12-01,LA RIOJA,.24928775
2007-12-01,MENDOZA,.28108639
2007-12-01,MISIONES,.1908785
2007-12-01,NEUQUEN,.25930631
2007-12-01,RIO NEGRO,.31073517
2007-12-01,SALTA,.24137717
2007-12-01,SAN JUAN,.24921127
2007-12-01,SAN LUIS,.25158641
2007-12-01,SANTA CRUZ,.22137238
2007-12-01,SANTA FE,.27786699
2007-12-01,SANTIAGO DEL ESTERO,.25900856
2007-12-01,TIERRA DEL FUEGO,.28941339
2007-12-01,TUCUMAN,.26701915
2008-01-01,BUENOS AIRES,.30658042
2008-01-01,CAPITAL FEDERAL,.36370191
2008-01-01,CATAMARCA,.23916216
2008-01-01,CHACO,.22717403
2008-01-01,CHUBUT,.2482798
2008-01-01,CORDOBA,.30591896
2008-01-01,CORRIENTES,.18857634
2008-01-01,ENTRE RIOS,.25808755
2008-01-01,FORMOSA,.19806693
2008-01-01,JUJUY,.2269838
2008-01-01,LA PAMPA,.26270372
2008-01-01,LA RIOJA,.24782196
2008-01-01,MENDOZA,.28268582
2008-01-01,MISIONES,.18962204
2008-01-01,NEUQUEN,.25848103
2008-01-01,RIO NEGRO,.30601868
2008-01-01,SALTA,.24850367
2008-01-01,SAN JUAN,.24614418
2008-01-01,SAN LUIS,.24619472
2008-01-01,SANTA CRUZ,.22319581
2008-01-01,SANTA FE,.2728852
2008-01-01,SANTIAGO DEL ESTERO,.25560427
2008-01-01,TIERRA DEL FUEGO,.29146269
2008-01-01,TUCUMAN,.26087499
2008-02-01,BUENOS AIRES,.30659449
2008-02-01,CAPITAL FEDERAL,.36451232
2008-02-01,CATAMARCA,.22511126
2008-02-01,CHACO,.22474824
2008-02-01,CHUBUT,.24521585
2008-02-01,CORDOBA,.30557525
2008-02-01,CORRIENTES,.19036163
2008-02-01,ENTRE RIOS,.25935829
2008-02-01,FORMOSA,.19871086
2008-02-01,JUJUY,.22767775
2008-02-01,LA PAMPA,.264442
2008-02-01,LA RIOJA,.235548
2008-02-01,MENDOZA,.28580895
2008-02-01,MISIONES,.19041535
2008-02-01,NEUQUEN,.26026616
2008-02-01,RIO NEGRO,.30584416
2008-02-01,SALTA,.25242281
2008-02-01,SAN JUAN,.24376577
2008-02-01,SAN LUIS,.24603717
2008-02-01,SANTA CRUZ,.2239193
2008-02-01,SANTA FE,.27043429
2008-02-01,SANTIAGO DEL ESTERO,.25325817
2008-02-01,TIERRA DEL FUEGO,.29565459
2008-02-01,TUCUMAN,.25067079
2008-03-01,BUENOS AIRES,.30444667
2008-03-01,CAPITAL FEDERAL,.36648947
2008-03-01,CATAMARCA,.22133027
2008-03-01,CHACO,.22267821
2008-03-01,CHUBUT,.24416795
2008-03-01,CORDOBA,.3035439
2008-03-01,CORRIENTES,.19123471
2008-03-01,ENTRE RIOS,.26116419
2008-03-01,FORMOSA,.19566347
2008-03-01,JUJUY,.22756869
2008-03-01,LA PAMPA,.2657077
2008-03-01,LA RIOJA,.23456676
2008-03-01,MENDOZA,.28396526
2008-03-01,MISIONES,.19087061
2008-03-01,NEUQUEN,.26080316
2008-03-01,RIO NEGRO,.3103632
2008-03-01,SALTA,.25341913
2008-03-01,SAN JUAN,.23971406
2008-03-01,SAN LUIS,.24893104
2008-03-01,SANTA CRUZ,.2207911
2008-03-01,SANTA FE,.27252176
2008-03-01,SANTIAGO DEL ESTERO,.25917166
2008-03-01,TIERRA DEL FUEGO,.29530361
2008-03-01,TUCUMAN,.2445837
2008-04-01,BUENOS AIRES,.30447885
2008-04-01,CAPITAL FEDERAL,.3671357
2008-04-01,CATAMARCA,.22789839
2008-04-01,CHACO,.22259228
2008-04-01,CHUBUT,.24462548
2008-04-01,CORDOBA,.30076721
2008-04-01,CORRIENTES,.19099672
2008-04-01,ENTRE RIOS,.26092044
2008-04-01,FORMOSA,.19533733
2008-04-01,JUJUY,.22863577
2008-04-01,LA PAMPA,.26718709
2008-04-01,LA RIOJA,.24345076
2008-04-01,MENDOZA,.27959943
2008-04-01,MISIONES,.19153172
2008-04-01,NEUQUEN,.25940377
2008-04-01,RIO NEGRO,.31668267
2008-04-01,SALTA,.25235039
2008-04-01,SAN JUAN,.2407157
2008-04-01,SAN LUIS,.24783359
2008-04-01,SANTA CRUZ,.21590108
2008-04-01,SANTA FE,.27343938
2008-04-01,SANTIAGO DEL ESTERO,.25771615
2008-04-01,TIERRA DEL FUEGO,.29187515
2008-04-01,TUCUMAN,.23847491
2008-05-01,BUENOS AIRES,.30576751
2008-05-01,CAPITAL FEDERAL,.36843073
2008-05-01,CATAMARCA,.2363432
2008-05-01,CHACO,.22277035
2008-05-01,CHUBUT,.24566332
2008-05-01,CORDOBA,.30251363
2008-05-01,CORRIENTES,.19348365
2008-05-01,ENTRE RIOS,.26170871
2008-05-01,FORMOSA,.19888152
2008-05-01,JUJUY,.21964301
2008-05-01,LA PAMPA,.27122143
2008-05-01,LA RIOJA,.247502
2008-05-01,MENDOZA,.27453032
2008-05-01,MISIONES,.18898402
2008-05-01,NEUQUEN,.26051855
2008-05-01,RIO NEGRO,.31537816
2008-05-01,SALTA,.24791871
2008-05-01,SAN JUAN,.24124685
2008-05-01,SAN LUIS,.24932599
2008-05-01,SANTA CRUZ,.21514764
2008-05-01,SANTA FE,.27686149
2008-05-01,SANTIAGO DEL ESTERO,.26093593
2008-05-01,TIERRA DEL FUEGO,.29228422
2008-05-01,TUCUMAN,.23483607
2008-06-01,BUENOS AIRES,.30758017
2008-06-01,CAPITAL FEDERAL,.36990502
2008-06-01,CATAMARCA,.2467186
2008-06-01,CHACO,.22435275
2008-06-01,CHUBUT,.24744762
2008-06-01,CORDOBA,.30691594
2008-06-01,CORRIENTES,.19706638
2008-06-01,ENTRE RIOS,.26501036
2008-06-01,FORMOSA,.20206
2008-06-01,JUJUY,.21032827
2008-06-01,LA PAMPA,.27698335
2008-06-01,LA RIOJA,.24980174
2008-06-01,MENDOZA,.27656627
2008-06-01,MISIONES,.19151846
2008-06-01,NEUQUEN,.26236138
2008-06-01,RIO NEGRO,.31524083
2008-06-01,SALTA,.24513872
2008-06-01,SAN JUAN,.24209315
2008-06-01,SAN LUIS,.2504532
2008-06-01,SANTA CRUZ,.21572721
2008-06-01,SANTA FE,.27999282
2008-06-01,SANTIAGO DEL ESTERO,.2632308
2008-06-01,TIERRA DEL FUEGO,.29464015
2008-06-01,TUCUMAN,.23175688
2008-07-01,BUENOS AIRES,.30773553
2008-07-01,CAPITAL FEDERAL,.36910433
2008-07-01,CATAMARCA,.24999203
2008-07-01,CHACO,.2233157
2008-07-01,CHUBUT,.24901211
2008-07-01,CORDOBA,.30679387
2008-07-01,CORRIENTES,.1945217
2008-07-01,ENTRE RIOS,.26434031
2008-07-01,FORMOSA,.20151596
2008-07-01,JUJUY,.21025842
2008-07-01,LA PAMPA,.27712563
2008-07-01,LA RIOJA,.24830209
2008-07-01,MENDOZA,.27362445
2008-07-01,MISIONES,.19133614
2008-07-01,NEUQUEN,.26353836
2008-07-01,RIO NEGRO,.31288955
2008-07-01,SALTA,.24435887
2008-07-01,SAN JUAN,.24089624
2008-07-01,SAN LUIS,.24922305
2008-07-01,SANTA CRUZ,.22394384
2008-07-01,SANTA FE,.27958992
2008-07-01,SANTIAGO DEL ESTERO,.26563507
2008-07-01,TIERRA DEL FUEGO,.29840362
2008-07-01,TUCUMAN,.23367994
2008-08-01,BUENOS AIRES,.30855134
2008-08-01,CAPITAL FEDERAL,.36962196
2008-08-01,CATAMARCA,.25004855
2008-08-01,CHACO,.22518204
2008-08-01,CHUBUT,.24879144
2008-08-01,CORDOBA,.30772358
2008-08-01,CORRIENTES,.19681385
2008-08-01,ENTRE RIOS,.26508352
2008-08-01,FORMOSA,.20091915
2008-08-01,JUJUY,.20756188
2008-08-01,LA PAMPA,.27784756
2008-08-01,LA RIOJA,.24836577
2008-08-01,MENDOZA,.27277201
2008-08-01,MISIONES,.19389538
2008-08-01,NEUQUEN,.26448086
2008-08-01,RIO NEGRO,.3145625
2008-08-01,SALTA,.24293961
2008-08-01,SAN JUAN,.23976424
2008-08-01,SAN LUIS,.25055787
2008-08-01,SANTA CRUZ,.22944482
2008-08-01,SANTA FE,.27957076
2008-08-01,SANTIAGO DEL ESTERO,.26841658
2008-08-01,TIERRA DEL FUEGO,.30353114
2008-08-01,TUCUMAN,.239933
2008-09-01,BUENOS AIRES,.30852789
2008-09-01,CAPITAL FEDERAL,.36967933
2008-09-01,CATAMARCA,.25147814
2008-09-01,CHACO,.22444844
2008-09-01,CHUBUT,.24675792
2008-09-01,CORDOBA,.30944461
2008-09-01,CORRIENTES,.19818296
2008-09-01,ENTRE RIOS,.26632968
2008-09-01,FORMOSA,.20118792
2008-09-01,JUJUY,.20728727
2008-09-01,LA PAMPA,.28123629
2008-09-01,LA RIOJA,.25457597
2008-09-01,MENDOZA,.27365196
2008-09-01,MISIONES,.19406889
2008-09-01,NEUQUEN,.26367787
2008-09-01,RIO NEGRO,.31576669
2008-09-01,SALTA,.23822348
2008-09-01,SAN JUAN,.23801105
2008-09-01,SAN LUIS,.25096932
2008-09-01,SANTA CRUZ,.22882853
2008-09-01,SANTA FE,.2812174
2008-09-01,SANTIAGO DEL ESTERO,.26380059
2008-09-01,TIERRA DEL FUEGO,.30082473
2008-09-01,TUCUMAN,.24471885
2008-10-01,BUENOS AIRES,.31055862
